食物编码,食物名称,食部,水分,能量,蛋白质,脂肪,碳水化合物,不溶性膳食纤维 ,胆固醇,灰分,总维生素A,胡萝卜素,视黄醇,硫胺素,核黄素,烟酸  ,维生素 C,维生素 E,钙,磷,钾,钠,镁,铁,锌,硒,铜,锰,备注,
,,%,g,kcal,g,g,g,g,mg,  g,HgRAE,μg,μg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,μg,mg,mg,,
129009,鱿鱼(干，中国枪乌贼,98,21.8,313,60,4.6,7.8,0,871,5.8,－,－,,0.02,0.13,4.9,-,9.72,87,392,1131,965.3,192,4.1,11.24,156.12,1.07,0.18,,
129010,鱿鱼(水浸),98,81.4,75,17,0.8,0,0,－,0.8,16,－,16,-,0.03,,-,0.94,43,60,16,134.7,61,0.5,1.36,13.65,0.2,0.06,,
129011,乌鱼蛋,73,85.3,66,14.1,1.1,0,0,243,0.9,－,－, -,0.01,0.04,2,-,0.54,11,99,201,126.8,21,0.3,1.27,37.97,0.22,0.04,山东,
129012,章鱼(章鱼肉)[八爪鱼,100,86.4,52,10.6,0.4,1.4,0,114,1.2,7,－,7,0.07,0.13,1.4,-,0.16,22,106,157,288.1,42,1.4,5.18,41.86,9,0.4,福建,
129013,章鱼[八爪鱼],78,65.4,135,18.9,0.4,14,0,－,1.3,-,－, -,0.04,0.06,5.4,-,1.34,21,63,447,65.4,50,0.6,0.68,27.3,0.24,,青岛,
129014,甲鱼蛋,100,75.2,128,12.5,7.3,3,0,－,2,73,－,73,1.05,1.58,0.03,-,3.6,103,268,156,103.9,11,1.3,0.97,35.23,0.05,0.02,北京,
129015,乌龟(龟板),28,38.6,466,9.9,44.4,6.8,0,225,0.3,－,－,－,－,－,－,-,1.16,10,80,26,70.9,8,1.4,0.89,0.03,－,0.24,,
129016,乌龟(肉),100,63.2,250,14.5,21.1,0.4,0,69,0.8,－,－,－,－,－,－,-,1.07,8,152,114,87,16,1.6,1.94,0.03,－,0.37,,
129017,金鲨鱼翅(干),100,12,350,84.1,0.5,2.3,0,－,1.1,-,－,-,0.01,0.02,-,-,-,252,115,226,79.6,17,5.1,2.25,72.46,0.04,0.09,广东,
129018,鱼翅(干),100,25.3,362,88.4,0.9,0,－,－,1.9,－,－,－,-,0.01,－,-,－,557,199,134,533,75,8.7,1.89,－,0.13,0.38,,
129019,棘参(鲜),53,91.7,21,4.1,0,1.2,－,－,3,－,－,－,0.02,0,－,－,－,146,31,75,89.5,131,2,0.25,－,0.2,0.16,,
129020,海参(干),100,10.7,302,64,0.9,9.5,－,－,14.9,－,－,－,0.1,0.27,－,－,－,1483,240,257,3643,785,37.6,2.9,－,0.1,0.58,,
129021,梅花参(泡发),100,80.9,73,11.7,0.9,4.5,0,2.25,2,－,－,1,0.01,0.04,-,－,0.36,396,22,4,217,140,2.8,0.66,106,0.05,0.17,三沙,
129022,墨鱼(干),85,17.2,313,71.6,1.1,4.2,0,661,5.9,4,－,4,0.01,0.07,6.97,,1.66,39,966,2020,814,235,2.5,6.37,112,0.5,0.07,三沙,
129301,墨鱼圈,100,84.8,72,13,2.2,0,0,157,0.9,8,－,8,0.05,0.05,－,,1.27,9,163,159,93.7,20,0.6,2.546,24.3,0.54,0.04,浙江,
129302,墨鱼丸,100,71,128,13.4,4.7,8,4,32,2.9,4,－,4,0.01,0.03,0.86,－,0.5,24,120,275,825.2,6,0.9,0.98,13.39,0.14,0.09,,
131117,婴儿配方奶粉(爱+新生儿配方奶粉1阶段),100,－,517,12,27,56.9,0.9,－,－,450,－,0.5,0.8,3,70,7,6.7,300,200,500,136,30,4,4,13.2,0.24,0.04,,
131118,婴儿配方奶粉(爱+婴儿配方奶粉2阶段),100,－,515,12.5,27,55.9,0.9,－,－,450,－,0.5,0.8,3,70,7,6.7,320,210,500,136,30,4,4,13.2,0.24,0.04,,
131119,票儿配方奶粉(贝因美视生婴儿配方奶粉),100,－,514,12.3,26.8,56.2,0.6,－,－,468,－,0.49,0.64,3.92,70,6.9,4,389,240,455,136,30,4.2,4,15,0.24,0.04,,
131120,婴儿配方奶粉(超级飞帆婴儿配方奶粉N),100,－,519,12,27.1,57.6,1.7,－,－,571,－,0.65,0.8,5.26,71,8,0,380,240,512,135,30,5,4,15,0.4,0.04,,
131121,婴儿配方奶粉(多美滋多乐加婴儿配方奶粉1阶段),100,－,503,11.1,25.8,57.4,1.5,－,－,435,－,0.43,0.9,3.5,86,6.8,8,370,190,540,140,40,5.5,3.7,14,0.37,0.06,,
131122,婴儿配方奶粉(多美滋优阶贝护婴儿配方奶粉),100,－,484,10.4,26,52.2,－,－,－,466,170,0.43,0.76,3.8,68,7,8.7,380,230,510,150,42,5.2,3.7,16,0.35,0.06,,
131123,婴儿配方奶粉(飞帆婴儿配方奶粉Ⅱ),100,－,518,12,27,57.6,1.7,－,－,541,－,0.6,0.8,5.2,71,7.5,10,380,240,512,135,30,5,4.4,15,0.4,0.04,,
131124,婴儿配方奶粉(合生元超级呵护婴儿配方奶粉1阶段),100,－,503,11.8,25,58.7,2,－,－,498,－,0.5,0.5,3,65.8,9.4,5.32,349,199,368,132,32,5.1,5.34,12.62,0.22,0.03,,
131125,婴儿配方奶粉(亨氏超金康儿高婴儿配方奶粉1段),100,－,501,11,26,57.3,3,－,－,480,－,0.45,1.2,4.8,75,8.3,7.5,405,250,500,125,45,6,4,13,0.4,0.05,,
131126,婴儿配方奶粉(惠氏金装爱儿乐婴儿配方奶粉),100,－,534,11,29,58.4,2.4,－,－,571,120,0.8,0.88,4,72,9.6,5.9,438,248,520,128,36,6.4,4.8,11,0.27,0.04,,
131127,婴儿配方奶粉(美素佳儿GOLD金装婴儿配方奶粉),100,－,510,10.6,27,57.1,1.9,－,－,514,310,0.45,0.7,3.6,70,9.3,6.7,385,230,500,155,46,6,4.6,19,0.39,0.13,,
131128,婴儿配方奶粉(美赞臣安婴儿婴儿配方奶粉),100,－,514,10.5,26,61,3,－,－,440,－,0.35,0.8,3.8,100,7.3,5.4,380,230,550,125,35,6.3,4,12.5,0.33,0.09,,
131129,婴儿配方奶粉(明治珍爱儿婴儿配方奶粉),100,2.8,513,12.2,25.9,58.8,2,－,－,384,70,0.4,0.6,3,70,6.5,6.2,380,210,490,140,40,6,3,25.5,0.32,0.05,,
131130,婴儿配方奶粉(能慧金装婴儿配方奶粉,100,－,508,11.5,27.3,55.1,1.9,－,－,510,－,0.79,0.9,4.15,62.5,8.4,9.11,419,278,606,202,40,5.5,4.5,16.5,0.34,0.09,广东,
131131,婴儿配方奶粉(雀巢力多精婴儿配方奶粉1),100,－,502,10.3,25.5,58.9,1.8,－,－,510,－,0.38,0.9,4,80,7,4,382,212,512,181,32,5,3.2,12,0.23,0.03,黑龙江,
131132,婴儿配方奶粉(雀巢能恩全进口奶源婴儿配方奶粉1),100,－,515,9.9,27.2,57.6,－,－,－,396,－,0.38,0.7,3.5,70,7,6,384,213,531,191,48,5.6,3.3,13.1,0.29,0.04,黑龙江,
131133,婴儿配方奶粉(三元爱力优婴儿配方奶粉),100,－,520,12.5,27.8,55.5,0.9,－,－,566,－,0.65,0.88,4.4,65,8.7,7.2,392,285,460,120,41,4.9,4.3,－,－,0.05,,
131134,婴儿配方奶粉(三元爱欣宝金装婴儿配方奶粉),100,－,517,12.5,27.3,56.1,1.6,－,－,562,－,0.65,0.84,4.3,69,8.7,6.5,390,286,463,134.9,35,5.1,4.2,－,0.36,0.04,,
131135,婴儿配方奶粉(三元爱欣宝婴儿配方奶粉),100,－,517,12.8,27.2,56.1,1.6,－,－,560,－,0.65,0.84,4.2,69,8.6,6.5,380,275,469,135,35,5,4,14,0.35,0.04,,
131136,婴儿配方奶粉(三元金装爱力优婴儿配方奶粉),100,－,515,12.5,27.5,55,1,－,－,600,－,0.65,1.45,3.9,60,8,10,430,300,450,150,32,5.2,4,11,0.34,0.05,,
131137,婴儿配方奶粉(圣元优博爱系列1婴儿配方奶粉,100,－,511,11.6,27,55.3,0,－,－,435,31,0.6,1.15,4,55,8,6.9,400,240,426,116,31,5,4.3,15,0.4,0.09,青岛,
131138,要儿配方奶粉(圣元优聪金装婴儿配方奶粉),100,－,493,11.8,25,55.2,－,－,－,427,31,0.6,1.15,4,65,8,6.8,400,260,450,120,30,4.8,4.4,15,0.4,0.09,青岛,
131139,婴儿配方奶粉(特选初生婴儿配方奶粉1阶段),100,－,514,12.3,26.8,56.2,0.6,－,－,468,－,0.49,0.64,3.92,70,6.9,4,389,240,455,136,30,4.2,4,15,0.24,0.04,杭州,
131140,婴儿配方奶粉(完达山1段配方奶粉婴儿配方奶粉),100,－,509,12.5,26,56.5,0.5,－,－,606,－,0.92,1.47,4.6,207.8,9,15,500,319,606,202,51,4.9,5.1,25,0.4,0.27,哈尔滨,
131141,婴儿配方奶粉(完达山金装元乳婴儿配方奶粉),100,－,509,12.5,26,56.5,0.5,－,－,500,－,0.39,1.42,3.7,66.5,7.7,5.6,332,207,450,132,33,3.3,3.3,26,0.33,0.22,哈尔滨,
131142,婴儿配方奶粉(完达山育儿慧金装婴儿配方奶粉1阶段,100,－,508,12.4,25.8,56.8,0.5,－,－,470,－,0.39,1.42,3.5,66.4,7.5,5.4,332,230,398,132,32,2.8,3.3,25.25,0.32,0.27,哈尔滨,
131143,婴儿配方奶粉(完达山元乳婴儿配方奶粉1阶段,100,－,509,12.5,26,56.5,0.5,－,－,500,－,0.39,1.4,3.7,66.5,7.7,5.6,332,207,450,132,33,3.3,3.3,25,0.33,0.22,哈尔滨,
